date,window,signal,ratio,moving_average,slope,state
2018-07-20,20,Risk On,0.3631250803445172,0.3536434635913082,0.0005945487068295119,Risk On
2018-07-20,60,Risk On,0.3631250803445172,0.3528531325606163,0.00025937614438226175,Risk On
2018-08-13,20,Risk Off,0.3495394307714335,0.35981534352627376,-0.000428188491771897,Risk Off
2018-08-15,60,Risk Off,0.3473551657355085,0.3559275278972401,-3.6175174498387364e-05,Risk Off
2018-08-30,20,Risk On,0.3601034233441262,0.3515076493883865,1.6233925244302227e-05,Risk On
2018-09-13,20,Risk Off,0.3424532928353345,0.35066178875210097,-0.0002902846297065942,Risk Off
2018-11-01,20,Risk On,0.3265453759292212,0.32002610982124746,-0.0004148492933711001,Risk On
2018-11-09,20,Risk Off,0.3120512696959475,0.31928074336146933,-0.00027632991507742233,Risk Off
2018-11-28,20,Risk On,0.3213885411808981,0.31409904824690027,-2.015651537112806e-05,Risk On
2018-12-03,60,Risk On,0.332184357632947,0.3247924063561357,-0.0004152101409777287,Risk On
2019-01-04,20,Risk Off,0.3167108251324754,0.3233011141310221,-3.619790986320037e-05,Risk Off
2019-01-25,20,Risk On,0.3331771321462043,0.3248125670983396,0.0005849887021124878,Risk On
2019-02-12,120,Risk On,0.3365206636951451,0.3286458227574672,-0.00011065820583050501,Risk On
2019-04-01,240,Risk On,0.3483195742867937,0.33975949850943965,-8.622932724405841e-05,Risk On
2019-05-02,20,Risk Off,0.3498778548993757,0.3592737975164326,7.791403062912261e-05,Risk Off
2019-05-17,60,Risk Off,0.3375934175612844,0.3474743023103397,6.446258485715006e-05,Risk Off
2019-05-20,240,Risk Off,0.3323719622414139,0.33990486668890185,-8.495121402191108e-05,Risk Off
2019-05-21,120,Risk Off,0.3263088860443433,0.3356177370019052,0.00011641536722062362,Risk Off
2019-06-21,20,Risk On,0.3313963766612093,0.3223870851268412,0.0004874544765618438,Risk On
2019-07-22,60,Risk On,0.3430230334371151,0.3331350321264653,-0.0003841885142208401,Risk On
2019-07-22,240,Risk On,0.3430230334371151,0.3346632199662249,-9.850183619714015e-05,Risk On
2019-07-24,120,Risk On,0.3464482218055513,0.33825618042481786,0.00014308371133164854,Risk On
2020-01-30,20,Risk Off,0.3762429858739638,0.38750378774182587,-0.0004982484722040881,Risk Off
2020-02-18,60,Risk Off,0.3723627615367791,0.38217369623385233,3.269383663756509e-05,Risk Off
2020-03-20,20,Risk On,0.3806451016464976,0.3731520869595846,0.0004258226760615047,Risk On
2020-03-26,60,Risk On,0.3894859603480757,0.38011172193096454,6.941656789583028e-05,Risk On
2020-11-02,20,Risk Off,0.5045424478141826,0.5165546062158044,0.0002577343806133836,Risk Off
2020-11-18,20,Risk On,0.5231632468624507,0.5127330282403173,-6.516989701133014e-05,Risk On
2021-02-24,20,Risk Off,0.6400061630907901,0.6562948164974628,0.0006403175907272463,Risk Off
2021-03-10,60,Risk Off,0.5948538901695725,0.6077293684243533,0.0008580880155664161,Risk Off
2021-04-08,20,Risk On,0.6123550234552623,0.599537877866423,0.0008265047250977098,Risk On
2021-04-19,20,Risk Off,0.5688387647066787,0.5958714615054733,-0.0018968484493383508,Risk Off
2021-04-19,120,Risk Off,0.5688387647066787,0.5806294751524766,0.0004195093730410271,Risk Off
2021-05-11,240,Risk Off,0.5090952920787564,0.5243364715917227,0.0004706477404265996,Risk Off
2021-05-31,20,Risk On,0.546875518534497,0.5343187271920431,-0.00042114942146087575,Risk On
2021-05-31,240,Risk On,0.546875518534497,0.5326775550056099,0.0006464729887689646,Risk On
2021-07-16,20,Risk Off,0.5288694808345463,0.546189198836368,-0.001635060308591063,Risk Off
2021-07-16,240,Risk Off,0.5288694808345463,0.5503856888382513,0.00031346015444133624,Risk Off
2021-11-01,20,Risk On,0.5114102218009003,0.4987575948634258,0.0007878664198650576,Risk On
2021-11-09,60,Risk On,0.5230960754411628,0.5092473276626676,-0.00014112622077067094,Risk On
2022-01-04,120,Risk On,0.529758552724201,0.5138596398165589,-0.0001611176466826958,Risk On
2022-01-11,20,Risk Off,0.4948714203862444,0.5107791622580645,-0.00038030492122731463,Risk Off
2022-01-11,60,Risk Off,0.4948714203862444,0.5100066682210115,3.8581788919356264e-05,Risk Off
2022-01-11,120,Risk Off,0.4948714203862444,0.5130454027350715,-0.000254808042028154,Risk Off
2022-05-05,20,Risk On,0.425501640515144,0.4165531376774917,0.00032157446898417597,Risk On
2022-05-16,60,Risk On,0.4545835438514337,0.4443026060314196,-0.0003975461384415624,Risk On
2022-06-15,20,Risk Off,0.4469590074200218,0.45691066558127097,-0.0008336961897406625,Risk Off
2022-06-23,60,Risk Off,0.4234109981181461,0.4376023334498335,-0.00048815949270353265,Risk Off
2022-07-14,20,Risk On,0.4436085197445414,0.4277062211685331,3.757318861857817e-05,Risk On
2022-07-15,60,Risk On,0.4617135380820312,0.4382640917299244,0.0005719394499367203,Risk On
2022-07-15,120,Risk On,0.4617135380820312,0.4499559534345073,-0.00028396818998560613,Risk On
2022-08-10,20,Risk Off,0.4369187056037885,0.4522033627461032,0.00010189180336928061,Risk Off
2022-09-07,60,Risk Off,0.431583398386677,0.44062050371788514,-0.0002562601505557982,Risk Off
2022-09-23,120,Risk Off,0.4245268745765387,0.43859209328767484,-7.35664189669416e-05,Risk Off
2022-11-09,20,Risk On,0.427927278716877,0.4193206113714202,0.0007470533204420038,Risk On
2022-11-15,60,Risk On,0.4496858892286872,0.4286708004579124,6.0893839374631664e-05,Risk On
2022-11-15,120,Risk On,0.4496858892286872,0.43644477657881675,-3.285797111501898e-05,Risk On
2022-11-18,240,Risk On,0.462775582679887,0.452746432238567,-0.00017175508282529783,Risk On
2022-12-20,20,Risk Off,0.4367785306800225,0.4475617522411713,-0.0010406349717815289,Risk Off
2022-12-20,240,Risk Off,0.4367785306800225,0.44723888855534033,-0.00031871694789270544,Risk Off
2023-01-13,20,Risk On,0.4476340468179541,0.4375353062623274,-2.2066836366463338e-05,Risk On
2023-01-30,240,Risk On,0.4615896769284424,0.4419685500835389,-0.00011259028205606869,Risk On
2023-04-13,20,Risk Off,0.4767750070768677,0.49079834666657673,-6.063917421483822e-05,Risk Off
2023-04-25,60,Risk Off,0.4603499687642895,0.4753035519955285,0.00027776863627465564,Risk Off
2023-05-25,20,Risk On,0.4786011295227456,0.4626897168553086,0.001054915204175999,Risk On
2023-05-26,60,Risk On,0.4907019788574054,0.4751563501448583,0.00045367396849821384,Risk On
2023-07-27,20,Risk Off,0.495812355902696,0.5061632220067224,-0.0001621823225583796,Risk Off
2023-08-10,60,Risk Off,0.4792531736555402,0.4947223072502221,0.00039164021819670936,Risk Off
2023-08-17,20,Risk On,0.5081630230364071,0.49425302611633964,0.0001617835713904059,Risk On
2023-08-17,60,Risk On,0.5081630230364071,0.4973744011843818,0.000748575196748591,Risk On
2023-09-11,20,Risk Off,0.4920268041616342,0.503524746637092,0.00029507406765383326,Risk Off
2023-09-20,60,Risk Off,0.4895564293137082,0.5002536992962899,-0.0001185618723875681,Risk Off
2023-11-14,20,Risk On,0.5090311290879256,0.49899922747976505,0.0005223358171996817,Risk On
2023-12-20,60,Risk On,0.5165266569456826,0.5017663310822463,0.0004228959881411587,Risk On
2024-04-19,20,Risk Off,0.5690236829931512,0.5870120844630533,-0.0004929238951006942,Risk Off
2024-04-22,60,Risk Off,0.5509042122653539,0.5706793285031732,0.0005705453355473455,Risk Off
2024-05-22,20,Risk On,0.5761260986328125,0.564692750705713,0.00107919763398856,Risk On
2024-05-27,60,Risk On,0.5921606422408711,0.5770065593353398,0.00035096448643057165,Risk On
2024-07-12,20,Risk Off,0.6005001041883725,0.6132464019444366,-0.0004084908324639702,Risk Off
2024-07-26,60,Risk Off,0.5720568566770475,0.5910414288514264,5.687640675866579e-05,Risk Off
2024-07-29,120,Risk Off,0.5667925037727024,0.5826288442292665,0.0001733582555339952,Risk Off
2024-08-19,20,Risk On,0.5890951786893668,0.5723235496831259,-0.0001372123876443032,Risk On
2024-09-04,20,Risk Off,0.5603362437767381,0.5772621867976224,-0.0005786221641945755,Risk Off
2024-09-26,20,Risk On,0.5830984581132611,0.5696317201589444,-1.468247205649309e-05,Risk On
2024-10-09,60,Risk On,0.5920670455751658,0.5767238324391131,-0.00037999381537756616,Risk On
2024-10-11,120,Risk On,0.6013768053106723,0.5820397915796718,0.00013331826443518935,Risk On
2024-11-18,20,Risk Off,0.5918271013857513,0.6070523502741637,-0.0005363061011820491,Risk Off
2024-12-25,20,Risk On,0.6085965913647279,0.5956588228702602,0.001345095667965035,Risk On
2025-01-15,20,Risk Off,0.5953908609100926,0.6078464895837248,-7.414692085327967e-05,Risk Off
2025-02-25,60,Risk Off,0.5892288125794889,0.6017066155524813,1.1836013104726817e-05,Risk Off
2025-02-27,120,Risk Off,0.5803107374595898,0.5950224910649895,6.193794307174372e-05,Risk Off
2025-03-03,240,Risk Off,0.5658606091705458,0.5899644555489331,-7.851321100871278e-05,Risk Off
2025-04-25,20,Risk On,0.5515189139547174,0.535553040710678,-0.00037872528863203136,Risk On
2025-05-13,60,Risk On,0.5704784949666982,0.558319201595608,-0.0004982346866284626,Risk On
2025-06-03,20,Risk Off,0.548947924283045,0.5618196801375757,-0.0006415330512477002,Risk Off
2025-06-10,20,Risk On,0.5755770139906293,0.5628725379731919,0.0004533413206482262,Risk On
