date,xlk_adj_close,xlf_adj_close,spy_adj_close,xlk_normalized,xlf_normalized,spy_normalized,us_ratio,ma20,slope20,ma20_slope,state20,bull_turn20,bear_turn20,cross_on20,cross_off20,ma60,slope60,ma60_slope,state60,bull_turn60,bear_turn60,cross_on60,cross_off60,ma120,slope120,ma120_slope,state120,bull_turn120,bear_turn120,cross_on120,cross_off120,ma240,slope240,ma240_slope,state240,bull_turn240,bear_turn240,cross_on240,cross_off240
1999-02-11,13.45943832397461,11.139396667480469,77.57019805908203,113.01809307267044,100.13406069131013,103.67686302693812,1.1286678308300986,1.1308928665283307,0.0035629983052489766,0.0035629983052489766,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-12,12.925241470336914,10.97536563873291,76.64029693603516,108.532474262262,98.6595559691813,102.43399870823036,1.1000705729525555,1.1324016128277123,0.0015087462993816914,0.0015087462993816914,Risk Off,False,True,False,True,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-16,12.867176055908203,11.139396667480469,76.17532348632812,108.04490247403082,100.13406069131013,101.81253595755229,1.0790025065208129,1.1328033106752238,0.00040169784751142856,0.00040169784751142856,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-17,12.576848983764648,11.18413543701172,76.09783172607422,105.60704353287508,100.53622561973708,101.7089639309933,1.050437719159237,1.1296297829883464,-0.0031735276868773976,-0.0031735276868773976,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-18,12.646528244018556,11.295968055725098,76.69839477539062,106.19213608510908,101.54150934952877,102.51164968610244,1.0458002521862446,1.1261245843412366,-0.003505198647109742,-0.003505198647109742,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-19,12.762657165527344,11.333257675170898,77.02777099609375,107.16726364567978,101.87671251431436,102.95187923524136,1.051930917290073,1.1233801526070784,-0.0027444317341582813,-0.0027444317341582813,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-22,13.215560913085938,11.661320686340332,79.08128356933594,110.97026913985133,104.82573053132371,105.69651244628416,1.0586167020003885,1.1215799387353338,-0.0018002138717445604,-0.0018002138717445604,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-23,13.38975715637207,11.81044101715088,79.04257202148438,112.4329845045448,106.16620028039756,105.64477231999096,1.059028054198002,1.119289059873775,-0.002290878861558765,-0.002290878861558765,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-24,13.018144607543944,11.42272663116455,77.6476821899414,109.31257631071855,102.68096521640284,103.78042485638905,1.0645846197524482,1.115093103349191,-0.0041959565245839325,-0.0041959565245839325,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-25,13.052983283996582,11.348169326782228,76.91153717041016,109.60511457888975,102.01075606012104,102.79652629395692,1.0744466447664882,1.1118845652522231,-0.003208538096967972,-0.003208538096967972,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-26,12.6581449508667,11.556944847106934,76.60150146484375,106.28968087294936,103.88747714718713,102.38214641374849,1.0231231308308586,1.1049761683253287,-0.006908396926894378,-0.006908396926894378,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-01,12.600077629089355,11.601675033569336,76.81460571289062,105.80209306882662,104.28956492084863,102.66697203606267,1.014503159056478,1.0980201316790752,-0.0069560366462535494,-0.0069560366462535494,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-02,12.263300895690918,11.631494522094728,76.13658142089844,102.97419911933416,104.55761772145516,101.76075504282684,0.9848560187518876,1.0885334807938285,-0.009486650885246695,-0.009486650885246695,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
